opportunity_id,account_id,account_name,call_date,call_owner,customer_seniority,notes,outcome,opportunity_stage,opportunity_type
ACCT-12-new business-2025,ACCT-12,North Co,2025-07-19,Brian Chen,Director,Discovery call with Director. Deep dive into compliance requirements. They need API integration and performance monitoring. Current solution: SeeFood. Timeline: 3-6 months. Budget: $500K+.,neutral,4. Negotiation,new business
ACCT-13-new business-2024,ACCT-13,Tech Ltd,2024-12-02,Carlos Rivera,Individual Contributor,First conversation with Individual Contributor. They mentioned performance bottlenecks as their biggest challenge. Currently evaluating SeeFood and Pied Piper. Timeline: immediate.,neutral,2. Discovery,new business
ACCT-13-new business-2024,ACCT-13,Tech Ltd,2024-12-03,Carlos Rivera,Director,"Discovery session with Director and team. Key pain points: integration challenges, deployment challenges. They're evaluating SeeFood. Our cloud deployment addresses their needs. Timeline: Q2 2025.",neutral,2. Discovery,new business
ACCT-13-new business-2024,ACCT-13,Tech Ltd,2024-11-29,Carlos Rivera,Individual Contributor,Qualification call - Individual Contributor confirmed data silos is priority. They're looking at Pied Piper and Pied Piper. Our ease of use resonated well. Next steps: technical demo.,neutral,2. Discovery,new business
ACCT-14-new business-2025,ACCT-14,Tech Group,2025-06-19,Tina Patel,Manager,Initial outreach to Manager at Tech Group. They're currently using Endframe but experiencing data silos. Showed interest in our advanced reporting capabilities.,neutral,4. Negotiation,new business
ACCT-14-new business-2025,ACCT-14,Tech Group,2025-06-21,Tina Patel,Manager,Discovery call with Manager. Deep dive into poor user adoption. They need enterprise security and backup and recovery. Current solution: Endframe. Timeline: within 30 days. Budget: $50K-$100K.,negative,4. Negotiation,new business
ACCT-14-new business-2025,ACCT-14,Tech Group,2025-06-27,Tina Patel,Manager,"Discovery session with Manager and team. Key pain points: integration challenges, limited analytics. They're evaluating Endframe. Our data visualization addresses their needs. Timeline: immediate.",neutral,4. Negotiation,new business
ACCT-15-new business-2024,ACCT-15,Red Corp,2024-08-25,Carlos Rivera,Director,Intro call with Director. They're looking to solve manual reporting. Budget seems to be around $10K-$25K. Competition includes Pied Piper.,neutral,2. Discovery,new business
ACCT-15-new business-2024,ACCT-15,Red Corp,2024-09-05,Carlos Rivera,Director,Qualification call - Director confirmed lack of real-time insights is priority. They're looking at Pied Piper and SeeFood. Our security focus resonated well. Next steps: reference calls.,negative,2. Discovery,new business
ACCT-15-new business-2024,ACCT-15,Red Corp,2024-08-30,Carlos Rivera,Director,Qualification call - Director confirmed limited customization is priority. They're looking at YaoNet and SeeFood. Our enterprise features resonated well. Next steps: security review.,neutral,2. Discovery,new business
ACCT-16-new business-2024,ACCT-16,Red LLC,2024-12-12,Jake Morgan,Manager,First conversation with Manager. They mentioned limited customization as their biggest challenge. Currently evaluating SeeFood and YaoNet. Timeline: within 60 days.,positive,2. Discovery,new business
ACCT-16-new business-2024,ACCT-16,Red LLC,2024-12-19,Jake Morgan,Manager,"Discovery session with Manager and team. Key pain points: data silos, limited analytics. They're evaluating Pied Piper. Our API integration addresses their needs. Timeline: next quarter.",negative,2. Discovery,new business
ACCT-16-new business-2024,ACCT-16,Red LLC,2024-12-21,Jake Morgan,Director,Qualification call - Director confirmed performance bottlenecks is priority. They're looking at Pied Piper and SeeFood. Our better pricing resonated well. Next steps: reference calls.,negative,2. Discovery,new business
ACCT-17-new business-2025,ACCT-17,Fast LLC,2025-01-07,Brian Chen,VP,First conversation with VP. They mentioned lack of real-time insights as their biggest challenge. Currently evaluating Pied Piper and Pied Piper. Timeline: within 60 days.,negative,2. Discovery,new business
ACCT-17-new business-2025,ACCT-17,Fast LLC,2025-01-08,Brian Chen,Director,Qualification call - Director confirmed manual reporting is priority. They're looking at SeeFood and SeeFood. Our excellent support resonated well. Next steps: security review.,negative,2. Discovery,new business
ACCT-17-new business-2025,ACCT-17,Fast LLC,2025-01-16,Brian Chen,VP,Qualification call - VP confirmed performance bottlenecks is priority. They're looking at Pied Piper and Endframe. Our enterprise features resonated well. Next steps: compliance assessment.,neutral,2. Discovery,new business
ACCT-18-new business-2025,ACCT-18,Fast Systems,2025-06-25,Tina Patel,Director,Intro call with Director. They're looking to solve poor user adoption. Budget seems to be around $100K-$250K. Competition includes Endframe.,positive,3. Evaluation,new business
ACCT-18-new business-2025,ACCT-18,Fast Systems,2025-07-01,Tina Patel,Director,"Discovery session with Director and team. Key pain points: data silos, complex workflows. They're evaluating YaoNet. Our multi-tenant architecture addresses their needs. Timeline: Q3 2025.",neutral,3. Evaluation,new business
ACCT-18-new business-2025,ACCT-18,Fast Systems,2025-06-24,Tina Patel,Individual Contributor,Discovery call with Individual Contributor. Deep dive into limited customization. They need API integration and audit logging. Current solution: Pied Piper. Timeline: within 30 days. Budget: $500K+.,neutral,3. Evaluation,new business
ACCT-19-new business-2025,ACCT-19,Silver Group,2025-05-08,Carlos Rivera,Individual Contributor,Intro call with Individual Contributor. They're looking to solve manual reporting. Budget seems to be around $25K-$50K. Competition includes YaoNet.,negative,4. Negotiation,new business
ACCT-19-new business-2025,ACCT-19,Silver Group,2025-05-11,Carlos Rivera,Manager,Discovery call with Manager. Deep dive into data silos. They need mobile app and custom branding. Current solution: Endframe. Timeline: within 60 days. Budget: $500K+.,negative,4. Negotiation,new business
ACCT-19-new business-2025,ACCT-19,Silver Group,2025-05-12,Carlos Rivera,Director,Qualification call - Director confirmed lack of real-time insights is priority. They're looking at Endframe and YaoNet. Our better pricing resonated well. Next steps: pricing discussion.,neutral,4. Negotiation,new business
ACCT-19-new business-2025,ACCT-19,Silver Group,2025-06-24,Carlos Rivera,Individual Contributor,Product demo for Individual Contributor. They loved our automated workflows and excellent support. Some concerns about implementation timeline. Competition: SeeFood. Timeline: end of year.,negative,4. Negotiation,new business
ACCT-20-new business-2025,ACCT-20,Fast Partners,2025-05-25,Brian Chen,Director,Initial outreach to Director at Fast Partners. They're currently using SeeFood but experiencing cost overruns. Showed interest in our enterprise security capabilities.,negative,3. Evaluation,new business
ACCT-20-new business-2025,ACCT-20,Fast Partners,2025-06-01,Brian Chen,Manager,"Discovery session with Manager and team. Key pain points: security concerns, poor mobile experience. They're evaluating YaoNet. Our custom dashboards addresses their needs. Timeline: end of year.",neutral,3. Evaluation,new business
ACCT-20-new business-2025,ACCT-20,Fast Partners,2025-05-26,Brian Chen,Manager,Qualification call - Manager confirmed poor user adoption is priority. They're looking at Pied Piper and Pied Piper. Our ease of use resonated well. Next steps: compliance assessment.,neutral,3. Evaluation,new business
ACCT-20-new business-2025,ACCT-20,Fast Partners,2025-07-31,Brian Chen,Director,Evaluation call - Director wants to see data visualization in action. They're also looking at Endframe. Pricing feedback: too expensive. Next: pricing discussion.,negative,3. Evaluation,new business
ACCT-20-new business-2025,ACCT-20,Fast Partners,2025-08-21,Brian Chen,VP,Evaluation call - VP wants to see data visualization in action. They're also looking at SeeFood. Pricing feedback: competitive pricing. Next: compliance assessment.,neutral,3. Evaluation,new business
ACCT-21-new business-2025,ACCT-21,International Co,2025-04-17,Tina Patel,Director,First conversation with Director. They mentioned data silos as their biggest challenge. Currently evaluating YaoNet and SeeFood. Timeline: end of year.,negative,3. Evaluation,new business
ACCT-21-new business-2025,ACCT-21,International Co,2025-04-20,Tina Patel,Director,"Discovery session with Director and team. Key pain points: lack of real-time insights, inadequate support. They're evaluating Pied Piper. Our cloud deployment addresses their needs. Timeline: 3-6 months.",positive,3. Evaluation,new business
ACCT-21-new business-2025,ACCT-21,International Co,2025-04-20,Tina Patel,Director,"Discovery session with Director and team. Key pain points: compliance requirements, difficult onboarding. They're evaluating YaoNet. Our mobile app addresses their needs. Timeline: end of year.",negative,3. Evaluation,new business
ACCT-21-new business-2025,ACCT-21,International Co,2025-05-21,Tina Patel,Director,Product demo for Director. They loved our API integration and excellent support. Some concerns about pricing concerns. Competition: Endframe. Timeline: Q2 2025.,negative,3. Evaluation,new business
ACCT-21-new business-2025,ACCT-21,International Co,2025-05-13,Tina Patel,Director,Technical deep dive with Director. They're impressed with our multi-tenant architecture and audit logging. Concerns about vendor lock-in. Comparing us to Endframe. Timeline: end of year.,positive,3. Evaluation,new business
ACCT-21-new business-2025,ACCT-21,International Co,2025-05-23,Tina Patel,Director,Product demo for Director. They loved our cloud deployment and superior performance. Some concerns about integration complexity. Competition: YaoNet. Timeline: next quarter.,neutral,3. Evaluation,new business
ACCT-22-new business-2024,ACCT-22,North Inc,2024-10-14,Donna Moriarty,Director,Intro call with Director. They're looking to solve manual reporting. Budget seems to be around $100K-$250K. Competition includes Endframe.,negative,4. Negotiation,new business
ACCT-22-new business-2024,ACCT-22,North Inc,2024-10-18,Donna Moriarty,Director,"Discovery session with Director and team. Key pain points: scalability issues, poor mobile experience. They're evaluating Pied Piper. Our custom dashboards addresses their needs. Timeline: Q3 2025.",neutral,4. Negotiation,new business
ACCT-22-new business-2024,ACCT-22,North Inc,2024-10-17,Donna Moriarty,Director,"Discovery session with Director and team. Key pain points: limited customization, inadequate support. They're evaluating Endframe. Our real-time analytics addresses their needs. Timeline: Q3 2025.",neutral,4. Negotiation,new business
ACCT-22-new business-2024,ACCT-22,North Inc,2024-12-21,Donna Moriarty,Manager,Evaluation call - Manager wants to see API integration in action. They're also looking at YaoNet. Pricing feedback: budget approval needed. Next: compliance assessment.,neutral,4. Negotiation,new business
ACCT-23-new business-2024,ACCT-23,Innovative Systems,2024-08-31,Brian Chen,Director,Initial outreach to Director at Innovative Systems. They're currently using Pied Piper but experiencing performance bottlenecks. Showed interest in our enterprise security capabilities.,negative,3. Evaluation,new business
ACCT-23-new business-2024,ACCT-23,Innovative Systems,2024-09-07,Brian Chen,Director,Discovery call with Director. Deep dive into cost overruns. They need enterprise security and backup and recovery. Current solution: Endframe. Timeline: within 30 days. Budget: $25K-$50K.,negative,3. Evaluation,new business
ACCT-23-new business-2024,ACCT-23,Innovative Systems,2024-09-06,Brian Chen,Manager,Qualification call - Manager confirmed integration challenges is priority. They're looking at Pied Piper and SeeFood. Our scalability resonated well. Next steps: executive presentation.,positive,3. Evaluation,new business
ACCT-23-new business-2024,ACCT-23,Innovative Systems,2024-10-14,Brian Chen,Director,Technical deep dive with Director. They're impressed with our mobile app and SSO integration. Concerns about integration complexity. Comparing us to Pied Piper. Timeline: within 60 days.,negative,3. Evaluation,new business
ACCT-23-new business-2024,ACCT-23,Innovative Systems,2024-10-25,Brian Chen,VP,Product demo for VP. They loved our multi-tenant architecture and security focus. Some concerns about pricing concerns. Competition: YaoNet. Timeline: within 30 days.,neutral,3. Evaluation,new business
ACCT-23-new business-2024,ACCT-23,Innovative Systems,2024-10-08,Brian Chen,Director,Evaluation call - Director wants to see multi-tenant architecture in action. They're also looking at SeeFood. Pricing feedback: need discount. Next: security review.,negative,3. Evaluation,new business
ACCT-24-new business-2024,ACCT-24,Worldwide Group,2024-12-02,Carlos Rivera,Individual Contributor,Intro call with Individual Contributor. They're looking to solve scalability issues. Budget seems to be around $500K+. Competition includes Pied Piper.,negative,5. Closed Lost,new business
ACCT-24-new business-2024,ACCT-24,Worldwide Group,2024-12-05,Carlos Rivera,Manager,"Discovery session with Manager and team. Key pain points: cost overruns, poor mobile experience. They're evaluating YaoNet. Our advanced reporting addresses their needs. Timeline: within 60 days.",negative,5. Closed Lost,new business
ACCT-25-new business-2024,ACCT-25,South LLC,2024-09-21,Brian Chen,Director,Intro call with Director. They're looking to solve scalability issues. Budget seems to be around $100K-$250K. Competition includes SeeFood.,positive,5. Closed Won,new business
ACCT-25-new business-2024,ACCT-25,South LLC,2024-09-24,Brian Chen,Manager,Qualification call - Manager confirmed security concerns is priority. They're looking at YaoNet and Pied Piper. Our superior performance resonated well. Next steps: security review.,positive,5. Closed Won,new business
ACCT-25-new business-2024,ACCT-25,South LLC,2024-11-19,Brian Chen,C-level,Deal won! C-level was impressed with our real-time analytics and scalability. Beat SeeFood on better performance. Timeline: Q2 2025.,positive,5. Closed Won,new business
ACCT-25-renewal-2025,ACCT-25,South LLC,2025-09-26,Sarah Brown,Director,Intro call with Director. They're looking to solve poor user adoption. Budget seems to be around $100K-$250K. Competition includes SeeFood.,negative,3. Evaluation,renewal
ACCT-25-renewal-2025,ACCT-25,South LLC,2025-09-28,Sarah Brown,Director,"Discovery session with Director and team. Key pain points: limited customization, limited analytics. They're evaluating Pied Piper. Our multi-tenant architecture addresses their needs. Timeline: within 60 days.",negative,3. Evaluation,renewal
ACCT-25-renewal-2025,ACCT-25,South LLC,2025-09-24,Sarah Brown,VP,"Discovery session with VP and team. Key pain points: manual reporting, slow response times. They're evaluating Endframe. Our real-time analytics addresses their needs. Timeline: end of year.",negative,3. Evaluation,renewal
ACCT-25-renewal-2025,ACCT-25,South LLC,2026-01-10,Sarah Brown,Individual Contributor,Product demo for Individual Contributor. They loved our advanced reporting and rapid deployment. Some concerns about pricing concerns. Competition: YaoNet. Timeline: Q3 2025.,neutral,3. Evaluation,renewal
ACCT-26-new business-2024,ACCT-26,Data Inc,2024-12-07,Tina Patel,Individual Contributor,Intro call with Individual Contributor. They're looking to solve manual reporting. Budget seems to be around $50K-$100K. Competition includes Endframe.,negative,5. Closed Lost,new business
ACCT-27-new business-2024,ACCT-27,East Solutions,2024-09-18,Brian Chen,VP,Intro call with VP. They're looking to solve poor user adoption. Budget seems to be around $500K+. Competition includes Pied Piper.,negative,5. Closed Lost,new business
ACCT-27-new business-2024,ACCT-27,East Solutions,2024-09-20,Brian Chen,Director,Qualification call - Director confirmed compliance requirements is priority. They're looking at YaoNet and SeeFood. Our ease of use resonated well. Next steps: pricing discussion.,negative,5. Closed Lost,new business
ACCT-28-new business-2025,ACCT-28,Strategic Corp,2025-06-07,Tina Patel,Director,Intro call with Director. They're looking to solve poor user adoption. Budget seems to be around $50K-$100K. Competition includes YaoNet.,negative,2. Discovery,new business
ACCT-28-new business-2025,ACCT-28,Strategic Corp,2025-06-05,Tina Patel,Director,"Discovery session with Director and team. Key pain points: security concerns, version control issues. They're evaluating Endframe. Our multi-tenant architecture addresses their needs. Timeline: next quarter.",neutral,2. Discovery,new business
ACCT-29-new business-2025,ACCT-29,Red Partners,2025-04-23,Carlos Rivera,Individual Contributor,First conversation with Individual Contributor. They mentioned scalability issues as their biggest challenge. Currently evaluating Pied Piper and Pied Piper. Timeline: Q3 2025.,negative,5. Closed Lost,new business
ACCT-29-new business-2025,ACCT-29,Red Partners,2025-04-25,Carlos Rivera,Director,"Discovery session with Director and team. Key pain points: security concerns, inadequate support. They're evaluating Pied Piper. Our custom dashboards addresses their needs. Timeline: within 60 days.",negative,5. Closed Lost,new business
ACCT-30-new business-2024,ACCT-30,East Solutions,2024-09-20,Carlos Rivera,Director,Intro call with Director. They're looking to solve poor user adoption. Budget seems to be around $100K-$250K. Competition includes Pied Piper.,negative,5. Closed Lost,new business
ACCT-31-new business-2024,ACCT-31,Digital Systems,2024-12-31,Donna Moriarty,Director,First conversation with Director. They mentioned performance bottlenecks as their biggest challenge. Currently evaluating Pied Piper and Pied Piper. Timeline: immediate.,neutral,2. Discovery,new business
ACCT-31-new business-2024,ACCT-31,Digital Systems,2025-01-05,Donna Moriarty,Manager,"Discovery session with Manager and team. Key pain points: compliance requirements, version control issues. They're evaluating Endframe. Our advanced reporting addresses their needs. Timeline: within 30 days.",positive,2. Discovery,new business
ACCT-32-new business-2024,ACCT-32,Digital Inc,2024-09-06,Carlos Rivera,Director,Intro call with Director. They're looking to solve lack of real-time insights. Budget seems to be around $10K-$25K. Competition includes Pied Piper.,neutral,2. Discovery,new business
ACCT-32-new business-2024,ACCT-32,Digital Inc,2024-09-17,Carlos Rivera,Individual Contributor,"Discovery session with Individual Contributor and team. Key pain points: poor user adoption, inadequate support. They're evaluating SeeFood. Our automated workflows addresses their needs. Timeline: next quarter.",neutral,2. Discovery,new business
ACCT-32-new business-2024,ACCT-32,Digital Inc,2024-09-15,Carlos Rivera,Individual Contributor,Qualification call - Individual Contributor confirmed lack of real-time insights is priority. They're looking at SeeFood and SeeFood. Our enterprise features resonated well. Next steps: contract review.,neutral,2. Discovery,new business
ACCT-33-new business-2025,ACCT-33,Clear Co,2025-04-29,Carlos Rivera,Manager,Initial outreach to Manager at Clear Co. They're currently using SeeFood but experiencing scalability issues. Showed interest in our AI-powered insights capabilities.,positive,5. Closed Won,new business
ACCT-33-new business-2025,ACCT-33,Clear Co,2025-04-30,Carlos Rivera,Manager,Qualification call - Manager confirmed data silos is priority. They're looking at SeeFood and SeeFood. Our superior performance resonated well. Next steps: proof of concept.,positive,5. Closed Won,new business
ACCT-33-new business-2025,ACCT-33,Clear Co,2025-05-15,Carlos Rivera,Individual Contributor,Contract signed with Individual Contributor. They valued our rapid deployment over Endframe. Implementation starts 3-6 months.,positive,5. Closed Won,new business
ACCT-33-renewal-2026,ACCT-33,Clear Co,2026-03-24,Sarah Brown,Director,Intro call with Director. They're looking to solve compliance requirements. Budget seems to be around $100K-$250K. Competition includes YaoNet.,positive,5. Closed Won,renewal
ACCT-33-renewal-2026,ACCT-33,Clear Co,2026-03-27,Sarah Brown,Manager,Qualification call - Manager confirmed scalability issues is priority. They're looking at SeeFood and Endframe. Our better pricing resonated well. Next steps: technical demo.,positive,5. Closed Won,renewal
ACCT-33-renewal-2026,ACCT-33,Clear Co,2026-04-02,Sarah Brown,Director,Contract signed with Director. They valued our better pricing over Endframe. Implementation starts end of year.,positive,5. Closed Won,renewal
ACCT-34-new business-2025,ACCT-34,Clear Corp,2025-04-29,Carlos Rivera,Manager,First conversation with Manager. They mentioned manual reporting as their biggest challenge. Currently evaluating Endframe and SeeFood. Timeline: next quarter.,positive,5. Closed Won,new business
ACCT-34-new business-2025,ACCT-34,Clear Corp,2025-06-11,Carlos Rivera,VP,Closed the deal! VP signed off. They chose us over Endframe because of our superior performance. Implementation timeline: within 60 days.,positive,5. Closed Won,new business
ACCT-34-renewal-2026,ACCT-34,Clear Corp,2026-04-14,David Lee,Director,First conversation with Director. They mentioned cost overruns as their biggest challenge. Currently evaluating YaoNet and SeeFood. Timeline: next quarter.,negative,3. Evaluation,renewal
ACCT-34-renewal-2026,ACCT-34,Clear Corp,2026-04-20,David Lee,Individual Contributor,"Discovery session with Individual Contributor and team. Key pain points: cost overruns, poor mobile experience. They're evaluating Endframe. Our data visualization addresses their needs. Timeline: within 30 days.",negative,3. Evaluation,renewal
ACCT-35-new business-2024,ACCT-35,Continental Partners,2024-11-17,Carlos Rivera,Manager,First conversation with Manager. They mentioned scalability issues as their biggest challenge. Currently evaluating Pied Piper and Pied Piper. Timeline: within 60 days.,negative,2. Discovery,new business
ACCT-35-new business-2024,ACCT-35,Continental Partners,2024-11-25,Carlos Rivera,Manager,"Discovery session with Manager and team. Key pain points: security concerns, difficult onboarding. They're evaluating Pied Piper. Our automated workflows addresses their needs. Timeline: immediate.",neutral,2. Discovery,new business
